Datetime,Open,High,Low,Close,Volume
2024-02-13 13:21:00,185.31,185.38,185.285,185.375,50151
2024-02-13 13:22:00,185.3784,185.38,185.315,185.375,48800
2024-02-13 13:23:00,185.38,185.415,185.3575,185.38,33772
2024-02-13 13:24:00,185.375,185.39,185.3401,185.365,41312
2024-02-13 13:25:00,185.365,185.4,185.32,185.4,44919
2024-02-13 13:26:00,185.41,185.44,185.38,185.405,49853
2024-02-13 13:27:00,185.4,185.43,185.37,185.4117,34465
2024-02-13 13:28:00,185.415,185.415,185.3038,185.31,45738
2024-02-13 13:29:00,185.31,185.35,185.2707,185.295,37033
2024-02-13 13:30:00,185.29,185.33,185.22,185.25,56475
2024-02-13 13:31:00,185.245,185.36,185.24,185.35,56661
2024-02-13 13:32:00,185.355,185.38,185.245,185.25,62708
2024-02-13 13:33:00,185.25,185.28,185.235,185.26,38414
2024-02-13 13:34:00,185.255,185.27,185.2,185.221,47486
2024-02-13 13:35:00,185.2299,185.298,185.215,185.265,37931
2024-02-13 13:36:00,185.26,185.275,185.22,185.25,35486
2024-02-13 13:37:00,185.245,185.294,185.18,185.195,68083
2024-02-13 13:38:00,185.19,185.26,185.18,185.245,44185
2024-02-13 13:39:00,185.24,185.32,185.22,185.315,32406
2024-02-13 13:40:00,185.315,185.38,185.27,185.32,73071
2024-02-13 13:41:00,185.32,185.34,185.23,185.23,48744
2024-02-13 13:42:00,185.225,185.32,185.225,185.2688,36280
2024-02-13 13:43:00,185.265,185.27,185.19,185.2271,42175
2024-02-13 13:44:00,185.22,185.265,185.205,185.23,33529
2024-02-13 13:45:00,185.23,185.2584,185.1822,185.2236,56381
2024-02-13 13:46:00,185.225,185.27,185.1915,185.24,31804
2024-02-13 13:47:00,185.245,185.295,185.22,185.285,39183
2024-02-13 13:48:00,185.285,185.295,185.1,185.111,58028
2024-02-13 13:49:00,185.1179,185.1274,185.0399,185.08,80150
2024-02-13 13:50:00,185.07,185.09,185.04,185.0647,44780
2024-02-13 13:51:00,185.065,185.0699,184.98,185.0186,138954
2024-02-13 13:52:00,185.02,185.05,184.98,185.02,64038
2024-02-13 13:53:00,185.0244,185.08,185.02,185.04,45306
2024-02-13 13:54:00,185.045,185.057,185.0097,185.01,35849
2024-02-13 13:55:00,185.02,185.07,185.01,185.06,40689
2024-02-13 13:56:00,185.05,185.075,185.02,185.075,46385
2024-02-13 13:57:00,185.075,185.1,185.01,185.015,59274
2024-02-13 13:58:00,185.01,185.085,184.98,184.99,115926
2024-02-13 13:59:00,184.9923,185.03,184.96,185.0,40827
2024-02-13 14:00:00,184.99,184.995,184.945,184.945,29698
2024-02-13 14:01:00,184.945,184.95,184.86,184.875,72984
2024-02-13 14:02:00,184.8772,184.96,184.86,184.89,65452
2024-02-13 14:03:00,184.89,184.89,184.84,184.8502,86415
2024-02-13 14:04:00,184.845,184.855,184.74,184.775,87185
2024-02-13 14:05:00,184.78,184.795,184.68,184.705,70998
2024-02-13 14:06:00,184.7032,184.73,184.635,184.6571,87282
2024-02-13 14:07:00,184.65,184.65,184.5401,184.5401,77292
2024-02-13 14:08:00,184.5409,184.5495,184.4815,184.51,100432
2024-02-13 14:09:00,184.5199,184.55,184.47,184.4811,70402
2024-02-13 14:10:00,184.4899,184.52,184.43,184.465,69368
2024-02-13 14:11:00,184.47,184.5399,184.46,184.51,64900
2024-02-13 14:12:00,184.505,184.51,184.4,184.4,51960
2024-02-13 14:13:00,184.41,184.415,184.32,184.39,83774
2024-02-13 14:14:00,184.385,184.445,184.28,184.315,118013
2024-02-13 14:15:00,184.3117,184.3799,184.3,184.36,51136
2024-02-13 14:16:00,184.36,184.42,184.34,184.39,87022
2024-02-13 14:17:00,184.39,184.395,184.3,184.33,69243
2024-02-13 14:18:00,184.32,184.38,184.26,184.36,99072
2024-02-13 14:19:00,184.36,184.41,184.315,184.345,100671
2024-02-13 14:20:00,184.345,184.41,184.3301,184.34,79815
2024-02-13 14:21:00,184.35,184.365,184.28,184.28,57085
2024-02-13 14:22:00,184.285,184.3199,184.26,184.305,48846
2024-02-13 14:23:00,184.3,184.3,184.19,184.2687,81216
2024-02-13 14:24:00,184.26,184.3,184.229,184.27,48622
2024-02-13 14:25:00,184.2692,184.3,184.2,184.215,67149
2024-02-13 14:26:00,184.215,184.245,184.19,184.2389,61924
2024-02-13 14:27:00,184.24,184.28,184.22,184.24,70499
2024-02-13 14:28:00,184.24,184.37,184.24,184.33,47390
2024-02-13 14:29:00,184.33,184.33,184.2801,184.285,47521
2024-02-13 14:30:00,184.28,184.36,184.26,184.34,80686
2024-02-13 14:31:00,184.33,184.36,184.285,184.34,64209
2024-02-13 14:32:00,184.3486,184.4,184.32,184.4,41765
2024-02-13 14:33:00,184.4,184.4099,184.34,184.36,56216
2024-02-13 14:34:00,184.36,184.48,184.345,184.4388,69261
2024-02-13 14:35:00,184.44,184.47,184.385,184.46,105891
2024-02-13 14:36:00,184.46,184.55,184.435,184.54,109540
2024-02-13 14:37:00,184.53,184.546,184.48,184.48,63046
2024-02-13 14:38:00,184.4799,184.4971,184.43,184.435,41185
2024-02-13 14:39:00,184.44,184.55,184.44,184.5421,51035
2024-02-13 14:40:00,184.54,184.595,184.54,184.58,50349
2024-02-13 14:41:00,184.58,184.59,184.5301,184.565,37664
2024-02-13 14:42:00,184.565,184.58,184.49,184.49,45081
2024-02-13 14:43:00,184.4899,184.53,184.45,184.47,63256
2024-02-13 14:44:00,184.48,184.49,184.39,184.41,57432
2024-02-13 14:45:00,184.4,184.48,184.37,184.435,48612
2024-02-13 14:46:00,184.43,184.435,184.3,184.345,72476
2024-02-13 14:47:00,184.3499,184.355,184.25,184.28,76524
2024-02-13 14:48:00,184.2614,184.2699,184.1809,184.2,84265
2024-02-13 14:49:00,184.21,184.26,184.185,184.2,62618
2024-02-13 14:50:00,184.2,184.225,184.11,184.1183,67274
2024-02-13 14:51:00,184.1186,184.1259,184.055,184.065,74264
2024-02-13 14:52:00,184.0699,184.07,183.955,183.9699,217607
2024-02-13 14:53:00,183.96,183.96,183.87,183.9,82099
